product_code,brand,ad_name,family,colorway,tier,is_primary_listing,restockable,notes
27426765001,askalabel,Mandapa by Aska Label - Gamis wanita dress wanita Muslim lengan panjang busui friendly,mandapa,,,,,
29428569264,askalabel,Kalyana by Aska Label - Tunik wanita plisket two tone lengan panjang,kalyana,,,,,
47403379551,askalabel,"Sahara by Aska Label - Celana kulot wanita lebar pinggang karet, warna Hitam, Offwhite, Navy, Grey, Seafoam, Sky Blue, Sand",sahara,,,,,
23573467295,askalabel,"Ameera by Aska Label - Innerdress wanita dress sleeveless tanpa lengan, bahan crinkle anti kusut busui friendly [5]",ameera,,,,,
7513032479,askalabel,"Naira by Aska Label - Tunik full kancing busui friendly warna Putih (Berfuring), Redbud, Taupe, Burgundy, Navy, Black [8]",naira,,,,,
25263576840,askalabel,Wijaya by Aska Label - Kemeja pria basic polos lengan pendek bahan soft katun flanel [5],wijaya,,,,,
23309633016,askalabel,Harsana by Aska Label - Tunik wanita lengan panjang busui friendly blouse wanita warna putih offwhite dan abu ash grey [5],harsana,,,,,
5948742868,askalabel,"Kalinda by Aska Label - Atasan blouse wanita basic polos bahan crepe full kancing busui friendly wudhu friendly warna Aloe, Ice Grey, Powder Pink, Tan, Dusty Peach [7]",kalinda,,,,,
29874384862,askalabel,"Daru by Aska Label - Atasan katun knit wanita blouse rajut lengan panjang warna coksu cream, abu, biru dusty",daru,,,,,
19173252648,askalabel,Vanya by Aska Label - Shirtdress pleats kemeja tunik plisket lengan panjang full kancing warna putih offwhite ungu lilac coklat [7],vanya,,,,,
57055914135,askalabel,Sekar Candrani Kids by Aska Label - Gamis anak kembaran dengan details aplikasi bunga dan drapery bahan satin premium,sekar,,,,,
25714622806,askalabel,Adikara Kids by Aska Label - Gamis anak wanita dengan kerah dan details pletas kancing depan,adikara,,,,,
24114594426,askalabel,Ayunda Kids by Aska Label - Gamis anak wanita polos dengan details lengan warna lilac dan maroon [5],ayunda,,,,,
45356361102,askalabel,Vimalani by Aska Label - Dress wanita A Line dengan details pleats dan kombinasi lace,vimalani,,,,,
44468070966,askalabel,"Dirandra by Aska Label - Atasan wanita dengan aksen lipit dan flowy, busui friendly dan lengan panjang",dirandra,,,,,
25564636609,askalabel,Raka Kids by Aska Label - Gamis anak wanita dress anak wanita dengan details pleats dan kerut tangan [5],raka,,,,,
20488977776,askalabel,"Hening by Aska Label - Dress wanita gamis Muslim plisket lengan panjang elegan feminime warna grey, blush pink, lilac, beige coksu [7]",hening,,,,,
8137531112,askalabel,Askara Kids by Aska Label [4],kids,,,,,
22463196092,askalabel,Naya by Aska Label - Dress wanita plisket gamis wanita busui friendly pleats [6],naya,,,,,
